genome,fitness,behavior_descriptor
"[-0.11407923  0.79247319 -0.08752291 -0.79233617  0.33061532  0.81320357
 -0.58716966]",0,[-0.114  0.792 -0.088]
"[ 0.79998886  0.10510854 -0.83475635 -0.81585893  0.14310695  0.90085852
 -0.15705141]",0,[ 0.8    0.105 -0.835]
"[ 0.48820501 -0.8010277  -0.62676853 -0.873076   -0.46593386 -0.91428789
  0.29027022]",0,[ 0.488 -0.801 -0.627]
"[ 0.1324435  -0.89986316  0.36582724 -0.50303542  0.55322742 -0.41570955
  0.06990328]",0,[ 0.132 -0.9    0.366]
"[-0.06556046  0.64215428 -0.45286175 -0.12930579  0.26414819  0.27860153
  0.87745277]",0,[-0.066  0.642 -0.453]
"[-0.82392997  0.43815615 -0.2043603   0.01706122  0.13626286  0.92282804
  0.70202015]",0,[-0.824  0.438 -0.204]
"[ 0.44475684 -0.67263985 -0.86907154  0.98805956  0.8114663  -0.85793919
  0.84544936]",0,[ 0.445 -0.673 -0.869]
"[ 0.45029334 -0.23248908  0.20339861 -0.2909349   0.77588061  0.18801905
 -0.49033683]",0,[ 0.45  -0.232  0.203]
"[-0.6294902   0.89699803 -0.10397285  0.19118025  0.34942504 -0.08835074
 -0.75291297]",0,[-0.629  0.897 -0.104]
"[ 0.60000988  0.92182167  0.75606222 -0.98964028  0.28221967 -0.12397495
 -0.32091936]",0,[0.6   0.922 0.756]
"[-0.09589171  0.42220001 -0.29614211 -0.03027432 -0.80709035 -0.86013148
  0.2132117 ]",0,[-0.096  0.422 -0.296]
"[-0.20610494 -0.95553372  0.89632272  0.78328481  0.90791322  0.1129904
  0.99726994]",0,[-0.206 -0.956  0.896]
"[-0.91562143 -0.48653017 -0.98886446  0.23524832 -0.15012405  0.30864264
 -0.21774149]",0,[-0.916 -0.487 -0.989]
"[-0.08766457  0.76717084  0.53502704 -0.11275142  0.34123591  0.82692637
 -0.56655239]",0,[-0.088  0.767  0.535]
"[-0.61259737 -0.72158157 -0.19508452  0.38251841  0.1136421  -0.95647139
 -0.94801418]",0,[-0.613 -0.722 -0.195]
"[ 0.89427978 -0.6328717   0.87624499  0.82717591 -0.87005767 -0.81145485
 -0.56320475]",0,[ 0.894 -0.633  0.876]
"[ 0.55427031  0.78110842 -0.8542137   0.13337865  0.58962514 -0.43123871
  0.13696597]",0,[ 0.554  0.781 -0.854]
"[ 0.26012174  0.12650774  0.48541293  0.79025497  0.15019512 -0.51264807
 -0.42197428]",0,[0.26  0.127 0.485]
"[-0.75945074 -0.74724882 -0.50917521 -0.48687882  0.03564424 -0.92918927
  0.64847179]",0,[-0.759 -0.747 -0.509]
"[-0.88803909 -0.08017614  0.13012285  0.71414522  0.86399946  0.21976543
 -0.29219968]",0,[-0.888 -0.08   0.13 ]
