genome,fitness,behavior_descriptor
"[ 0.80908935 -0.65846755 -0.71473707  0.66357856 -0.71231941 -0.70944175
  0.42658996]",0,[ 0.809 -0.658 -0.715]
"[ 0.27139354 -0.65672046 -0.57999383 -0.61263625  0.13148997 -0.9918517
 -0.66811073]",0,[ 0.271 -0.657 -0.58 ]
"[ 0.84682861  0.84830966 -0.90337837 -0.0149428   0.26287269 -0.50196397
 -0.0606098 ]",0,[ 0.847  0.848 -0.903]
"[-0.39593444  0.674711   -0.65930962  0.8670034   0.54005812 -0.3439632
  0.12360281]",0,[-0.396  0.675 -0.659]
"[ 0.28982393 -0.68839383 -0.73492282 -0.84705567  0.78449872  0.58348424
 -0.79300014]",0,[ 0.29  -0.688 -0.735]
"[ 0.64388394 -0.03419214  0.47153028 -0.75584101 -0.58031507 -0.59705377
 -0.56877531]",0,[ 0.644 -0.034  0.472]
"[-0.37558484 -0.66093124  0.40316899 -0.18583363 -0.08900074  0.82844336
  0.52344095]",1,[-0.376 -0.661  0.403]
"[-0.68883639  0.48389735  0.46775558 -0.77088883 -0.65215513  0.21315381
 -0.64608009]",0,[-0.689  0.484  0.468]
"[ 0.66094684  0.40019305  0.3411326   0.88140234 -0.58677987  0.51356517
  0.75225998]",0,[0.661 0.4   0.341]
"[ 0.66086159  0.52633738 -0.23842151  0.92958801 -0.83974374 -0.91808233
  0.67184923]",0,[ 0.661  0.526 -0.238]
"[ 0.54125898  0.07805244 -0.90134351 -0.86531613 -0.65540321  0.88069432
 -0.16334675]",0,[ 0.541  0.078 -0.901]
"[ 0.04841681 -0.97545045 -0.63508801  0.44871974 -0.30704519 -0.10361725
 -0.96024209]",0,[ 0.048 -0.975 -0.635]
"[-0.59778112  0.81804969  0.79111679 -0.69368205  0.89424618  0.42374017
  0.24402344]",0,[-0.598  0.818  0.791]
"[ 0.6920191  -0.88991623  0.5188818   0.61780655  0.43779453 -0.89289967
 -0.28626972]",0,[ 0.692 -0.89   0.519]
"[ 0.63792325 -0.14567214  0.85194823 -0.53325176  0.46727962 -0.47596802
 -0.18399564]",0,[ 0.638 -0.146  0.852]
"[-0.82062467 -0.02481414 -0.54987736 -0.83523017  0.32564176  0.92727869
 -0.27828596]",0,[-0.821 -0.025 -0.55 ]
"[-0.55020793 -0.97740823  0.58148789 -0.8188379   0.30510412 -0.74328675
 -0.4404312 ]",0,[-0.55  -0.977  0.581]
"[ 0.28928341 -0.81514907 -0.95340367 -0.81138477  0.00513132 -0.26836363
  0.80930433]",0,[ 0.289 -0.815 -0.953]
"[ 0.64918317  0.24302837 -0.52858012 -0.6432569  -0.87650323 -0.92542425
 -0.23089188]",0,[ 0.649  0.243 -0.529]
