genome,fitness,behavior_descriptor
"[-0.49248559 -0.80780352 -0.36088855 -0.9846557  -0.80656926  0.41908905
 -0.02112795]",0,[-0.492 -0.808 -0.361]
"[ 0.23002574  0.23568042 -0.44304852 -0.78047184  0.57797919 -0.19046003
 -0.17304458]",0,[ 0.23   0.236 -0.443]
"[ 0.1898276   0.22048278  0.88605094 -0.34245986  0.39027181  0.00449179
  0.55019615]",0,[0.19  0.22  0.886]
"[ 0.30934863 -0.08378249 -0.24036418 -0.0723719  -0.97150704 -0.50832986
 -0.22104966]",0,[ 0.309 -0.084 -0.24 ]
"[ 0.6667969  -0.8678734   0.5417838  -0.10004333 -0.93411607 -0.92570489
  0.77598049]",0,[ 0.667 -0.868  0.542]
"[ 0.29817156  0.40626385 -0.86888251  0.67310117  0.49551119  0.72879217
  0.96158089]",0,[ 0.298  0.406 -0.869]
"[ 0.03897003 -0.91834308 -0.17867469  0.41755399 -0.23620797  0.53491689
  0.45240753]",0,[ 0.039 -0.918 -0.179]
"[ 0.77969289 -0.92121944 -0.51032309  0.3029961  -0.77490218 -0.26359672
 -0.14929121]",0,[ 0.78  -0.921 -0.51 ]
"[-0.16491512 -0.10019785 -0.32840315 -0.87268725  0.71597051 -0.14153047
 -0.00753356]",0,[-0.165 -0.1   -0.328]
"[-0.2444856   0.17964686 -0.37641062  0.19950706 -0.67337263 -0.60513326
 -0.85914622]",0,[-0.244  0.18  -0.376]
"[-0.86939286  0.37891093  0.55556332 -0.26911141 -0.87832112  0.03352817
 -0.30360554]",0,[-0.869  0.379  0.556]
"[ 0.64102096 -0.70190953  0.9851284   0.8891215  -0.7908261   0.31381761
 -0.59896004]",0,[ 0.641 -0.702  0.985]
"[-0.37462514 -0.65556148  0.41182645 -0.17911872 -0.08565897  0.82904845
  0.53030572]",1,[-0.375 -0.656  0.412]
"[-0.03926784 -0.90116747  0.09230071  0.20380821 -0.9863078   0.80692738
  0.11251347]",0,[-0.039 -0.901  0.092]
"[-0.9399706  -0.97881092 -0.35151615 -0.91265083 -0.08920226 -0.18207098
 -0.87665494]",0,[-0.94  -0.979 -0.352]
"[ 0.4314343  -0.06520572 -0.37771639  0.07122646  0.95043242  0.23786915
  1.00320537]",0,[ 0.431 -0.065 -0.378]
"[-0.73203038 -0.75887683 -0.01102476  0.40036143  0.72874401 -0.70585865
 -0.68647436]",0,[-0.732 -0.759 -0.011]
"[-0.9810203  -0.5157526  -0.16355769  0.57848808 -0.2268894   0.57135119
  0.55290182]",0,[-0.981 -0.516 -0.164]
"[-0.98393491  0.56415265 -0.58033609  0.45164819  0.60164003 -0.26467319
  0.85333554]",0,[-0.984  0.564 -0.58 ]
"[-0.66229207  0.58073767  0.18522686  0.28565257 -0.46363333  0.63403814
 -0.96155628]",0,[-0.662  0.581  0.185]
"[ 0.51003171 -0.7873518   0.36653998  0.84004707  0.99570988  0.06760489
  0.18458015]",0,[ 0.51  -0.787  0.367]
"[-0.90407451  0.48184606  0.17352967 -0.90984639 -0.45543722 -0.7347967
  0.18190232]",0,[-0.904  0.482  0.174]
"[-0.80221951 -0.10327912 -0.03946143 -0.02776089  0.18212642 -0.70008525
 -0.38215128]",0,[-0.802 -0.103 -0.039]
"[-0.91482156  0.75144706  0.9325407   0.26998868 -0.64644693  0.66963585
 -0.7105312 ]",0,[-0.915  0.751  0.933]
"[-0.29579879  0.82061186  0.79606559 -0.39619082  0.17675198  0.76682874
  0.22557399]",0,[-0.296  0.821  0.796]
"[ 0.42188234  0.37376707  0.50004087 -0.46332713  0.917244    0.6013462
 -0.01715338]",0,[0.422 0.374 0.5  ]
"[-0.71648065 -0.37328031  0.50716116  0.15114705  0.43011541  0.30867658
 -0.30816961]",0,[-0.716 -0.373  0.507]
"[-0.88757856  0.55932569 -0.12445863  0.09400722 -0.01143745 -0.69632772
  0.39918822]",0,[-0.888  0.559 -0.124]
"[-0.30168239 -0.21989539  0.9410444   0.34569536  0.78439301 -0.1995562
  0.61024339]",0,[-0.302 -0.22   0.941]
"[-0.53032677  0.88071707 -0.13331469 -0.36504285 -0.50061721  0.53701595
 -0.71881278]",0,[-0.53   0.881 -0.133]
"[-0.3377266   0.01575091 -0.85777207  0.8829502  -0.52447226  0.25293442
  0.85592425]",0,[-0.338  0.016 -0.858]
"[-0.79423017 -0.9433123  -0.17843575 -0.30393627  0.69421089 -0.77297718
  0.60168348]",0,[-0.794 -0.943 -0.178]
"[ 0.20340534  0.0403602   0.22642882 -0.63353413  0.98140073  0.66508354
  0.42523598]",0,[0.203 0.04  0.226]
"[-0.19341081 -0.85088853  0.72756767 -0.8178158  -0.46612045 -0.71023772
  0.80370548]",0,[-0.193 -0.851  0.728]
"[ 0.57573309  0.59894607  0.03824511  0.02953102  0.21268066 -0.91278714
  0.50501241]",0,[0.576 0.599 0.038]
"[-0.03946034  0.30405114  0.25249352  0.02483618  0.24769003 -0.06637159
  0.77145001]",0,[-0.039  0.304  0.252]
"[ 0.20620614  0.88942894 -0.18249372  0.57053094 -0.6318815  -0.24217095
 -0.72326499]",0,[ 0.206  0.889 -0.182]
"[-0.29805044 -0.16335721  0.49661421  0.13730295  0.9011239  -0.33372169
  0.89775027]",0,[-0.298 -0.163  0.497]
"[ 0.38984804  0.32916002 -0.56066936 -0.4586962   0.2318615   0.13523689
  0.7010396 ]",0,[ 0.39   0.329 -0.561]
"[-0.36294693  0.66059636  0.92113318  0.8015158   0.17114472  0.48334386
 -0.16493863]",0,[-0.363  0.661  0.921]
"[ 0.95858933 -0.9799999   0.36380588  0.77420609 -0.75135057  0.45810913
 -0.30410082]",0,[ 0.959 -0.98   0.364]
"[-0.67099963 -0.58984229  0.38340718 -0.42642551  0.73057928  0.36391612
  0.07644792]",0,[-0.671 -0.59   0.383]
"[ 0.52044236  0.51678914 -0.80752001 -0.49550553  0.66124306 -0.23055557
 -0.13282681]",0,[ 0.52   0.517 -0.808]
"[-0.35686446 -0.31993817 -0.60840616  0.34902734 -0.8562176   0.75036811
 -0.89423247]",0,[-0.357 -0.32  -0.608]
"[ 0.70958931 -0.21366217 -0.48063111  0.23717717  0.83142117 -0.48504679
 -0.54699282]",0,[ 0.71  -0.214 -0.481]
"[-0.54079098 -0.63352731 -0.49458346 -0.88217108  0.75097412 -0.09048645
  0.80112615]",0,[-0.541 -0.634 -0.495]
"[-0.91804142  0.85182048  0.46902923  0.78140495  0.21726292 -0.14468811
  0.14113333]",0,[-0.918  0.852  0.469]
"[-0.6819886  -0.11392869  0.07854805  0.43231503 -0.45511989 -0.28543426
 -0.14138406]",0,[-0.682 -0.114  0.079]
"[ 0.37632398  0.72310362 -0.96548091 -0.96019933  0.32124305 -0.44958704
 -0.85490465]",0,[ 0.376  0.723 -0.965]
"[ 0.7876392  -0.49574583  0.50335137  0.23391065 -0.26834789 -0.5495294
 -0.53914441]",0,[ 0.788 -0.496  0.503]
"[ 0.03818286  0.88031013 -0.68156002 -0.98171532  0.80340353  0.75762921
 -0.88751552]",0,[ 0.038  0.88  -0.682]
"[ 0.01016018 -0.49695613  0.21478886 -0.87180024 -0.96346098  0.93716143
  0.97729328]",0,[ 0.01  -0.497  0.215]
"[-0.86954652 -0.04006951  0.84295628 -0.28514016  0.67193561 -0.86132686
  0.36466187]",0,[-0.87  -0.04   0.843]
"[-0.77300699 -0.97756527  0.21702203  0.34307815  0.67991235  0.39267891
 -0.59826758]",0,[-0.773 -0.978  0.217]
"[ 0.03529864  0.17037016 -0.17327422  0.40256137 -0.42501669 -0.40403461
  0.44922996]",0,[ 0.035  0.17  -0.173]
"[-0.35995473  0.73056321  0.50024641 -0.94783575  0.43224803 -0.15703692
  1.0008527 ]",0,[-0.36   0.731  0.5  ]
"[ 0.03704629  0.30299678  0.50341635 -0.20994126 -0.09936281 -0.31577214
  0.0451146 ]",0,[0.037 0.303 0.503]
"[-0.31262701 -0.79763155  0.06013325  0.32432997 -0.27259704  0.82310251
 -0.29174364]",0,[-0.313 -0.798  0.06 ]
"[ 0.3547412  -0.94772684  0.73992133 -0.35249807  0.2975464  -0.21553255
 -0.28106698]",0,[ 0.355 -0.948  0.74 ]
"[ 0.77315218 -0.20438286  0.30165783 -0.16740414  0.67458029 -0.66356832
 -0.09882791]",0,[ 0.773 -0.204  0.302]
"[-0.343065   -0.76530388  0.23289371  0.17697854 -0.25433826 -0.35940064
 -0.39457913]",0,[-0.343 -0.765  0.233]
"[-0.57407305  0.9842132  -0.11470597  0.3502772   0.93128849 -0.54106405
  0.94963223]",0,[-0.574  0.984 -0.115]
"[-0.82992282  0.10749532  0.28552608 -0.04043111  0.91456157 -0.17780773
 -0.75409247]",0,[-0.83   0.107  0.286]
"[-0.76208911 -0.84769899  0.86185249  0.72259472  0.87883678  0.41252188
 -0.82251823]",0,[-0.762 -0.848  0.862]
"[ 0.84063096  0.17496614  0.06072209  0.84624434 -0.3662389  -0.37413979
  0.53275838]",0,[0.841 0.175 0.061]
"[ 0.28207698 -0.64711979  0.30793672  0.96284065  0.84931308 -0.12729212
 -0.92504152]",0,[ 0.282 -0.647  0.308]
"[-0.3153239  -0.39729769 -0.09236638  0.60691425  0.50178497 -0.23300909
  0.81087093]",0,[-0.315 -0.397 -0.092]
"[-0.17772409 -0.34528429 -0.41377772 -0.01134698 -0.23556126  0.8074346
  0.04153337]",0,[-0.178 -0.345 -0.414]
"[ 0.27417065  0.54569284  0.67717703  0.87893245  0.33918384 -0.57674445
 -0.08719009]",0,[0.274 0.546 0.677]
"[-0.68207583 -0.32804126  0.54167222 -0.71129725 -0.06824681  0.3412776
 -0.78743496]",0,[-0.682 -0.328  0.542]
"[-0.76465333 -0.22200768 -0.10545657 -0.82162926  0.63006093 -0.80269147
 -0.15408527]",0,[-0.765 -0.222 -0.105]
"[-0.13391544  0.97450145 -0.88817685  0.14873117  0.84488208  0.09736177
 -0.6173544 ]",0,[-0.134  0.975 -0.888]
"[ 0.21863247  0.70383143 -0.93611703 -0.90711429 -0.84815198 -0.25384784
 -0.75590355]",0,[ 0.219  0.704 -0.936]
"[-0.40971936 -0.78513478  0.65137304  0.91424178  0.684676   -0.39073437
 -0.59045033]",0,[-0.41  -0.785  0.651]
"[-0.14077405 -0.23976212  0.49952175 -0.0628327  -0.78887553  0.01034279
  0.11535358]",0,[-0.141 -0.24   0.5  ]
"[-0.59398585 -0.3962044  -0.29781992 -0.01182074  0.09130804  0.79964076
 -0.21108142]",0,[-0.594 -0.396 -0.298]
"[-0.57860992 -0.32574267 -0.19784035 -0.89875111 -0.45733397  0.83023293
  0.34494511]",0,[-0.579 -0.326 -0.198]
"[-0.13719902  0.41580739 -0.55226817  0.660311    0.33577616  0.21274646
 -0.73478733]",0,[-0.137  0.416 -0.552]
"[ 0.15470517 -0.75415379  0.63245194  0.28936509 -0.01166484  0.85016981
 -0.23512528]",0,[ 0.155 -0.754  0.632]
"[-0.38403501  0.17282764 -0.20633343 -0.8301812   0.51539816  0.34798618
  0.93742694]",0,[-0.384  0.173 -0.206]
"[ 0.01161278 -0.4979466   0.48861077  0.36022188  0.47744173 -0.80499112
 -0.24510828]",0,[ 0.012 -0.498  0.489]
"[-0.10922401 -0.51053104  0.63446049 -0.63512404  0.37006397 -0.94079238
  0.19999055]",0,[-0.109 -0.511  0.634]
"[-0.85440614  0.4415646  -0.83380849  0.47505142  0.95024792 -0.27328421
  0.73634665]",0,[-0.854  0.442 -0.834]
"[ 2.49943940e-01  5.86834214e-04  3.05826929e-01  3.93705294e-02
 -6.07453065e-01 -3.86394611e-01 -1.76502131e-01]",0,[0.25  0.001 0.306]
"[-0.42038427  0.81792011 -0.45586024  0.7830476   0.80946491 -0.62923496
  0.32527351]",0,[-0.42   0.818 -0.456]
"[ 0.47669732  0.45185138 -0.6501487  -0.09445145 -0.89169285  0.14257259
 -0.9701753 ]",0,[ 0.477  0.452 -0.65 ]
"[ 0.34533363  0.4418493   0.23893835  0.2706874  -0.12042158 -0.93049737
  0.82560101]",0,[0.345 0.442 0.239]
"[-0.50772834 -0.41695986  0.90958887 -0.48664658 -0.92588256 -0.9090205
 -0.1989349 ]",0,[-0.508 -0.417  0.91 ]
"[-0.68324742  0.3184275   0.95159523 -0.6921524   0.04376999 -0.70054053
 -0.5900763 ]",0,[-0.683  0.318  0.952]
"[ 0.23430541 -0.41704807  0.81357874  0.21292779  0.7055031  -0.04153971
  0.23462632]",0,[ 0.234 -0.417  0.814]
"[ 0.85412225  0.69129033 -0.71613227 -0.07268641  0.25551006  0.12000358
  0.8821065 ]",0,[ 0.854  0.691 -0.716]
"[-0.15125837 -0.19110946  0.60580094  0.56392501  0.02353584  0.50433514
 -0.6752383 ]",0,[-0.151 -0.191  0.606]
"[-0.63462189 -0.90197893 -0.61351878 -0.27369067 -0.40117624 -0.0896174
 -0.27396596]",0,[-0.635 -0.902 -0.614]
"[ 0.32507378 -0.14878935 -0.10823005  0.22045922  0.21361298 -0.69170505
 -0.82833772]",0,[ 0.325 -0.149 -0.108]
"[ 0.45088228 -0.36299174 -0.34252058  0.00234767 -0.39105906  0.3537631
 -0.20952003]",0,[ 0.451 -0.363 -0.343]
"[-0.55231534 -0.48237915 -0.24417609 -0.1306175   0.48581906  0.3676887
 -0.41178093]",0,[-0.552 -0.482 -0.244]
"[-0.11022901  0.56526398  0.57479072  0.65860996 -0.31428188  0.44697372
  0.93874801]",0,[-0.11   0.565  0.575]
"[-0.16313494  0.23387169 -0.69799561 -0.07238953 -0.40966112 -0.91788104
 -0.12815882]",0,[-0.163  0.234 -0.698]
"[-0.0394077  -0.84114278  0.54212497  0.78894814  0.56291289  0.54075034
  0.07298806]",0,[-0.039 -0.841  0.542]
"[-0.68517575  0.44927387  0.57096322  0.78314149  0.88787814  0.72089075
 -0.43667297]",0,[-0.685  0.449  0.571]
"[-0.492253   -0.80685483 -0.36053719 -0.98033246 -0.8029818   0.42758536
 -0.01157003]",0,[-0.492 -0.807 -0.361]
"[ 0.23707014  0.23961187 -0.4390914  -0.77320405  0.57968693 -0.18679195
 -0.16842902]",0,[ 0.237  0.24  -0.439]
"[ 0.19244513  0.22304032  0.88930072 -0.33284375  0.39316926  0.00943446
  0.55071756]",0,[0.192 0.223 0.889]
"[ 0.31001833 -0.0779443  -0.23221301 -0.07156163 -0.9673297  -0.50140749
 -0.21867587]",0,[ 0.31  -0.078 -0.232]
"[ 0.66723994 -0.86475517  0.54569584 -0.09057952 -0.92759927 -0.91601784
  0.78477353]",0,[ 0.667 -0.865  0.546]
"[ 0.30434787  0.41508269 -0.85980129  0.67412295  0.50185946  0.73635776
  0.96629203]",0,[ 0.304  0.415 -0.86 ]
"[ 0.04449713 -0.91268868 -0.17075983  0.41899364 -0.23201464  0.53721998
  0.45675105]",0,[ 0.044 -0.913 -0.171]
"[ 0.78172541 -0.91232289 -0.50896367  0.31012955 -0.76681906 -0.2608279
 -0.14619765]",0,[ 0.782 -0.912 -0.509]
"[-0.16194578 -0.09804557 -0.32504607 -0.86858798  0.71928652 -0.13383825
  0.00180865]",0,[-0.162 -0.098 -0.325]
"[-0.24048726  0.18623414 -0.37451297  0.20841662 -0.66700939 -0.60148165
 -0.85810028]",0,[-0.24   0.186 -0.375]
"[-0.8668444   0.38385934  0.56541494 -0.26775232 -0.87207944  0.03748135
 -0.29536361]",0,[-0.867  0.384  0.565]
"[ 0.6472266  -0.69597755  0.98611898  0.89489707 -0.78916966  0.32002903
 -0.59458674]",0,[ 0.647 -0.696  0.986]
"[-0.37005971 -0.64584302  0.41471398 -0.17455399 -0.07567291  0.83767518
  0.53336918]",1,[-0.37  -0.646  0.415]
"[-0.37599312 -0.66020568  0.40666875 -0.18846636 -0.08629416  0.82850004
  0.52792358]",0,[-0.376 -0.66   0.407]
