genome,fitness,behavior_descriptor
"[-0.57926472 -0.34938698  0.97318091  0.5103833   0.61150768 -0.40272992
 -0.59335985]",0,[-0.579 -0.349  0.973]
"[ 0.34035719  0.12399864 -0.15369689 -0.54675829  0.97677704  0.40520854
  0.91205791]",0,[ 0.34   0.124 -0.154]
"[-0.32741367 -0.73045925 -0.80999347  0.91565215  0.36360936 -0.32112739
 -0.21692505]",0,[-0.327 -0.73  -0.81 ]
"[ 0.79792508 -0.18485612 -0.13063149 -0.70096005  0.68544871  0.34399455
  0.61514658]",0,[ 0.798 -0.185 -0.131]
"[ 0.87139443 -0.45639778 -0.13882119 -0.13957977  0.03720419 -0.45376336
  0.02650941]",0,[ 0.871 -0.456 -0.139]
"[-0.12617038 -0.4156509  -0.24982604  0.62599663 -0.16220756  0.46018962
 -0.11554768]",0,[-0.126 -0.416 -0.25 ]
"[ 0.65279627 -0.89883536  0.65721565  0.76969675  0.58978665  0.94784043
  0.6810181 ]",0,[ 0.653 -0.899  0.657]
"[ 0.36636029  0.14203785  0.41027298  0.17422103  0.88289004 -0.28629425
 -0.62224469]",0,[0.366 0.142 0.41 ]
"[ 0.39869529  0.56760003  0.64969079 -0.2977241  -0.0883905   0.64004764
  0.12471716]",0,[0.399 0.568 0.65 ]
"[ 0.16870553 -0.5279264  -0.57179578 -0.20494716  0.8979751  -0.93214644
  0.07235834]",0,[ 0.169 -0.528 -0.572]
"[ 0.65956653  0.21229158 -0.04737794  0.26394844 -0.86908475 -0.49977096
  0.95991317]",0,[ 0.66   0.212 -0.047]
"[ 0.5518932   0.35346281  0.23996664  0.00212559  0.50910537 -0.21143245
  0.38773369]",0,[0.552 0.353 0.24 ]
"[ 0.12519546 -0.49552513 -0.35591773 -0.29677189 -0.0834533   0.74004273
  0.04747757]",0,[ 0.125 -0.496 -0.356]
"[-0.62206292  0.51288927 -0.17176767 -0.09460317 -0.79438258 -0.7431764
  0.05331593]",0,[-0.622  0.513 -0.172]
"[ 0.66090091 -0.80347729  0.85334933 -0.96604825 -0.83278494  0.04758114
  0.00781332]",0,[ 0.661 -0.803  0.853]
"[-0.3848498  -0.52841339  0.05041993  0.95751838 -0.30401314  0.50967735
  0.07039524]",0,[-0.385 -0.528  0.05 ]
